Column1	Column2
0.60125	0.85
0.6025	0.91
0.60375	0.97
0.605	1.03
0.60625	1.07
0.6075	1.08
0.60875	1.07
0.61	1.05
0.61125	1.04
0.6125	1.02
0.61375	0.97
0.615	0.89
0.61625	0.81
0.6175	0.71
0.61875	0.6
0.62	0.48
0.62125	0.37
0.6225	0.27
0.62375	0.2
0.625	0.14
0.62625	0.08
0.6275	0.03
0.62875	-0.02
0.63	-0.06
0.63125	-0.09
0.6325	-0.1
0.63375	-0.1
0.635	-0.08
0.63625	-0.05
0.6375	-0.03
0.63875	-0.02
0.64	-0.01
0.64125	0
0.6425	-0.01
0.64375	-0.02
0.645	-0.04
0.64625	-0.05
0.6475	-0.05
0.64875	-0.04
0.65	-0.04
0.65125	-0.04
0.6525	-0.03
0.65375	-0.03
0.655	-0.03
0.65625	-0.03
0.6575	-0.04
0.65875	-0.03
0.66	-0.03
0.66125	-0.04
0.6625	-0.06
0.66375	-0.07
0.665	-0.08
0.66625	-0.08
0.6675	-0.07
0.66875	-0.07
0.67	-0.07
0.67125	-0.07
0.6725	-0.06
0.67375	-0.05
0.675	-0.04
0.67625	-0.04
0.6775	-0.04
0.67875	-0.04
0.68	-0.04
0.68125	-0.05
0.6825	-0.04
0.68375	-0.04
0.685	-0.03
0.68625	-0.04
0.6875	-0.04
0.68875	-0.03
0.69	-0.02
0.69125	-0.01
0.6925	-0.01
0.69375	-0.01
0.695	-0.01
0.69625	0
0.6975	0
0.69875	-0.01
0.7	-0.02
0.70125	-0.02
0.7025	-0.02
0.70375	-0.03
0.705	-0.03
0.70625	-0.02
0.7075	-0.03
0.70875	-0.03
0.71	-0.04
0.71125	-0.03
0.7125	-0.02
0.71375	-0.01
0.715	0.01
0.71625	0.01
0.7175	0
0.71875	0.01
0.72	0.01
0.72125	0.01
0.7225	0.01
0.72375	0
0.725	-0.01
0.72625	0
0.7275	0.01
0.72875	0
0.73	0.01
0.73125	0.01
0.7325	0.03
0.73375	0.03
0.735	0.03
0.73625	0.04
0.7375	0.05
0.73875	0.05
0.74	0.05
0.74125	0.04
0.7425	0.04
0.74375	0.03
0.745	0.04
0.74625	0.04
0.7475	0.04
0.74875	0.06
0.75	0.07
0.75125	0.07
0.7525	0.08
0.75375	0.09
0.755	0.09
